State,Year,Office,County,D#,R#,Pop.#,PF#,Proh.#,BR#,Right.#,FB#,Labor#,Wor.#,Nat.#,Cit.#,Free.#,Comm.#,S#,Ind.#,Prog.#,SD#,SL#,FS#,S&L#,SW#,SE#,FL#,Chr.#,Liberty#,Justice#,U#,Am.#,I1#,I2#,I3#,Ref.#,NL#,G#,L#,NA#,W/I1#,W/I2#,W/I3#,W/I4#,W/I5#,W/I6#,D1#,D2#,R1#,R2#,ULS#,WSAL#,CNPM#,CNP#,IP#,New#,Buffalo#,C#,W/I#,State#,OWL#,T#,I#,Year / Office,Prog.#.1,Christian#,CON#,NM#
Washington,,,Asotin,3627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5522,,,,,,,,,,0,,,,,2016 Insurance Commissioner,,,,
Washington,,,Benton,30142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46296,,,,,,,,,,126,,,,,2016 Insurance Commissioner,,,,
Washington,,,Chelan,13562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17608,,,,,,,,,,0,,,,,2016 Insurance Commissioner,,,,
Washington,,,Clallam,19364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17726,,,,,,,,,,0,,,,,2016 Insurance Commissioner,,,,
Washington,,,Clark,94558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93973,,,,,,,,,,400,,,,,2016 Insurance Commissioner,,,,
Washington,,,Columbia,622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1378,,,,,,,,,,0,,,,,2016 Insurance Commissioner,,,,
Washington,,,Cowlitz,20282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22332,,,,,,,,,,0,,,,,2016 Insurance Commissioner,,,,
Washington,,,Douglas,5592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9040,,,,,,,,,,0,,,,,2016 Insurance Commissioner,,,,
Washington,,,Ferry,1297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2055,,,,,,,,,,0,,,,,2016 Insurance Commissioner,,,,
Washington,,,Franklin,9491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13288,,,,,,,,,,0,,,,,2016 Insurance Commissioner,,,,
Washington,,,Garfield,365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,786,,,,,,,,,,0,,,,,2016 Insurance Commissioner,,,,
Washington,,,Grant,9021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17755,,,,,,,,,,0,,,,,2016 Insurance Commissioner,,,,
Washington,,,Grays Harbor,14621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12392,,,,,,,,,,0,,,,,2016 Insurance Commissioner,,,,
Washington,,,Island,22136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18595,,,,,,,,,,0,,,,,2016 Insurance Commissioner,,,,
